,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,NoDisponible,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
118,Ursus americanus,170713,-99.8602266,23.7873755,,False,4,42.58,Mammalia,Carnivora,Ursidae,3287,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6adfb12c635df271eacd46f196e412e6,6adfb12c635df271eacd46f196e412e6,Si,NoDisponible,No,Si,Si,,,,
115,Ursus americanus,166100,-100.5256749,25.9209958,,False,4,30.19,Mammalia,Carnivora,Ursidae,944,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6c29a794008a8d83e024baf7cc49dab1,6c29a794008a8d83e024baf7cc49dab1,No,NoDisponible,,,,,,,
3,Ursus americanus,175522,-99.14,23.0316667,,True,1,-98.93,Mammalia,Carnivora,Ursidae,345,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6dd1bba0d99b29e5aaddb400e3b492c5,6dd1bba0d99b29e5aaddb400e3b492c5,Si,NoDisponible,No,No,Si,,,,
27,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6f00e71874c131ebc4de7b0ab1590605,6f00e71874c131ebc4de7b0ab1590605,No,NoDisponible,,,,,,,
61,Ursus americanus,101362,-108.33639,29.97361,,False,3,6.22,Mammalia,Carnivora,Ursidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=71da1e689b23c8b26167b88aed36221b,71da1e689b23c8b26167b88aed36221b,No,NoDisponible,,,,,,,
85,Ursus americanus,161179,-100.904585,25.2957338,,False,4,35.46,Mammalia,Carnivora,Ursidae,2634,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=760ac58e076ca47569079b6c0adfd906,760ac58e076ca47569079b6c0adfd906,No,NoDisponible,,,,,,,
62,Ursus americanus,101362,-108.33639,29.97361,,False,3,6.22,Mammalia,Carnivora,Ursidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=782ce37bd54a881becd7d8b9e8ed9379,782ce37bd54a881becd7d8b9e8ed9379,No,NoDisponible,,,,,,,
28,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d52356c21e57572585a1a4b28b8cf40,7d52356c21e57572585a1a4b28b8cf40,No,NoDisponible,,,,,,,
137,Ursus americanus,142041,-103.33083,25.35972,,False,3,-0.23,Mammalia,Carnivora,Ursidae,1169,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f24cbc7a640f24dfad32696b1fd09e6,7f24cbc7a640f24dfad32696b1fd09e6,Si,NoDisponible,No,No,Si,,,,
89,Ursus americanus,161179,-100.920088,25.3232644,,False,4,35.46,Mammalia,Carnivora,Ursidae,2329,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f4eb22b41b714cf0ee61af66448a800,7f4eb22b41b714cf0ee61af66448a800,No,NoDisponible,,,,,,,
63,Ursus americanus,101362,-108.33639,29.97361,,False,3,6.22,Mammalia,Carnivora,Ursidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f722b2956e8f807cf3c390a58c07e87,7f722b2956e8f807cf3c390a58c07e87,No,NoDisponible,,,,,,,
49,Ursus americanus,175087,-98.925,19.325,,False,3,-5.7,Mammalia,Carnivora,Ursidae,2345,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=809d51c04cb223a69f65e6800842872a,809d51c04cb223a69f65e6800842872a,Si,NoDisponible,No,No,No,,,,
111,Ursus americanus,171017,-99.8876952,26.0733377,,False,3,17.93,Mammalia,Carnivora,Ursidae,1153,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82342b2e9ced0c21d92732df0ab00a8e,82342b2e9ced0c21d92732df0ab00a8e,No,NoDisponible,,,,,,,
136,Ursus americanus,142041,-103.33083,25.35972,,False,3,-0.23,Mammalia,Carnivora,Ursidae,1169,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8313737eaf12b12823c81adb233b2cdc,8313737eaf12b12823c81adb233b2cdc,Si,NoDisponible,No,No,Si,,,,
81,Ursus americanus,161179,-100.9696549,25.309593,,False,4,35.46,Mammalia,Carnivora,Ursidae,2570,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=84baae90a86160b29be8824a22c4d089,84baae90a86160b29be8824a22c4d089,No,NoDisponible,,,,,,,
